"hospital_id","year","state","g","p","charity_care","uninsured_cost","medicaid_mix","hospital_ownership_type"
501326,2011,"washington",2014,1,0.023292164245428,0.0144396873739981,0.191399584350949,"non-profit"
501326,2012,"washington",2014,1,0.0233851468048359,0.013715087634431,0.181356076328839,"non-profit"
501326,2013,"washington",2014,1,0.0300094103888708,0.0098061492210892,0.190741246056465,"non-profit"
501326,2014,"washington",2014,1,0.0249434860537248,0.00841759338541434,0.246973320119384,"non-profit"
501326,2015,"washington",2014,1,0.0139799511156389,0.00585351883581536,0.23777711992734,"non-profit"
501326,2016,"washington",2014,1,0.0139151536223866,0.00653072135779922,0.251334208699158,"non-profit"
501326,2017,"washington",2014,1,0.0186991468493677,0.00664093318858252,0.23095466173219,"non-profit"
501326,2018,"washington",2014,1,0.0189732792306446,0.00657151803080091,0.243271464765447,"non-profit"
501326,2019,"washington",2014,1,0.0222979782096282,0.00697397211225945,0.225417999141853,"non-profit"
501326,2020,"washington",2014,1,0.0110662483464402,0.0112275902105318,0.235062596392023,"non-profit"
501326,2021,"washington",2014,1,0.0108003124646631,0.00893803936721515,0.235665458010378,"non-profit"
501326,2022,"washington",2014,1,0.0246713336694116,0.00327600956055459,0.231908243749514,"non-profit"
501326,2023,"washington",2014,1,0.0120883435688573,0.00476010288727797,0.226093943195725,"non-profit"
501339,2011,"washington",2014,0,0.0285024675967919,0.0265481966898578,0.0939375556449034,"governmental"
501339,2012,"washington",2014,0,0.0322569450671885,0.0202901057535089,0.0952790534602464,"governmental"
501339,2013,"washington",2014,0,0.0179988865019316,0.0115087349249584,0.132476226667114,"governmental"
501339,2014,"washington",2014,0,0.00374082793667465,0.00193974915304319,0.169673399873981,"governmental"
501339,2015,"washington",2014,0,0.00579239672665207,0.00482220460607688,0.161929470171516,"governmental"
501339,2016,"washington",2014,0,0.00612673185898369,0.0115304024368859,0.176339120168205,"governmental"
501339,2017,"washington",2014,0,0.0149838245910207,0.0119251464383788,0.00455457725127943,"governmental"
501339,2018,"washington",2014,0,0.163599663229251,0.00712847744604322,0.0100237019525119,"governmental"
501339,2019,"washington",2014,0,0.00726837451888321,0.00614173854153898,0.0139927175678753,"governmental"
501339,2020,"washington",2014,0,0.00771560831926483,0.0159715691637574,0.013295228638301,"governmental"
501339,2021,"washington",2014,0,0.0069563777032975,0.00743046511387537,0.0123117307682867,"governmental"
501339,2022,"washington",2014,0,0.00532122133495355,0.00997624045398794,0.0116095677953556,"governmental"
501339,2023,"washington",2014,0,0.00615407763347186,0.00787514490578809,0.0105660462111766,"governmental"
501305,2011,"washington",2014,0,0.00213220314648223,0.0208688226767142,0.137448060954181,"governmental"
501305,2012,"washington",2014,0,0.00609377586149917,0.0210137183938493,0.120170558580262,"governmental"
501305,2013,"washington",2014,0,0.0120107198300959,0.0189393282238825,0.119776443744496,"governmental"
501305,2014,"washington",2014,0,0.0146658868965322,0.0164972089196715,0.119777351364304,"governmental"
501305,2015,"washington",2014,0,0.0134428336457978,0.00723445966513828,0.163176984559713,"governmental"
501305,2016,"washington",2014,0,0.0150736775666653,0.0123850270862256,0.194801151150263,"governmental"
501305,2017,"washington",2014,0,0.0147483820151319,0.0123197479855788,0.181668211158707,"governmental"
501305,2018,"washington",2014,0,0.0148182762405983,0.0149255584022794,0.192022363325386,"governmental"
501305,2019,"washington",2014,0,0.0197024114843117,0.0167639041041646,0.175480072717523,"governmental"
501305,2020,"washington",2014,0,0.0246623787238383,0.00859037832394199,0.169194609646866,"governmental"
501305,2021,"washington",2014,0,0.0182273436206679,0.00548506746720973,0.159355639620109,"governmental"
501305,2022,"washington",2014,0,0.0147380001225547,0.0075475749441496,0.153863401966647,"governmental"
501305,2023,"washington",2014,0,0.0170553834084166,0.0133072088712181,0.169273726934479,"governmental"
501302,2011,"washington",2014,0,0.0201681869599863,0.0296821794556473,0.185591877006436,"governmental"
501302,2012,"washington",2014,0,0.0284900660428047,0.0331162396098338,0.16078729964002,"governmental"
501302,2013,"washington",2014,0,0.0277361919876128,0.029966428454653,0.174473459301478,"governmental"
501302,2014,"washington",2014,0,0.00863916573883702,0.0332786648992603,0.202326538128026,"governmental"
501302,2015,"washington",2014,0,-0.0006812377693307,0.0270531164393472,0.212816605442516,"governmental"
501302,2016,"washington",2014,0,0.010360868135014,0.0233666475196373,0.174443117835371,"governmental"
501302,2017,"washington",2014,0,0.00434172515127958,0.029859137010657,0.167033968325611,"governmental"
501302,2018,"washington",2014,0,0.00429019335828762,0.0338839852601539,0.215473449165909,"governmental"
501302,2019,"washington",2014,0,-0.00682762617564837,0.0247631399815753,0.212862518335544,"governmental"
501302,2020,"washington",2014,0,0.00376340321505886,0.0242491223073226,0.203783006862334,"governmental"
501302,2021,"washington",2014,0,-0.00279829468002201,0.0252540721864197,0.198543972723723,"governmental"
501302,2022,"washington",2014,0,-0.00521984422397279,0.0202610812846825,0.189322721595533,"governmental"
501302,2023,"washington",2014,0,-0.00235781176302689,0.0185860866127719,0.196263575661807,"governmental"
500026,2011,"washington",2014,1,0.136121497198344,0.0248673040236266,0.16248652832867,"non-profit"
500026,2012,"washington",2014,1,0.0352175605520492,0.028908782564612,0.153686220085478,"non-profit"
500026,2013,"washington",2014,1,0.031624190966981,0.0006484974659315,0.138014680285547,"non-profit"
500026,2014,"washington",2014,1,0.0287307978123653,0.00963392343485543,0.171498461601389,"non-profit"
500026,2015,"washington",2014,1,0.0193772191285527,0.00717262123087269,0.165962347210101,"non-profit"
500026,2016,"washington",2014,1,0.00497619948657772,0.0112611950426051,0.177194242812729,"non-profit"
500026,2017,"washington",2014,1,0.027555883097376,0.0100662729934309,0.181246434591562,"non-profit"
500026,2018,"washington",2014,1,0.0235917962645371,0.0113298577381916,0.184312503822604,"non-profit"
500026,2019,"washington",2014,1,0.0253048834416447,0.0135736300157725,0.175915029262846,"non-profit"
500026,2020,"washington",2014,1,0.0325891480185212,0.0147142371930969,0.190048629810914,"non-profit"
500026,2021,"washington",2014,1,0.0200330678987019,0.00993006449782892,0.192780595024957,"non-profit"
500026,2022,"washington",2014,1,0.0323623442305983,0.00152542240826882,0.189867269961698,"non-profit"
500026,2023,"washington",2014,1,0.0272800090033633,0.00458285481573082,0.187511891705811,"non-profit"
501333,2011,"washington",2014,0,0.0192251226871778,0.0344846840918136,0.130981551484081,"governmental"
501333,2012,"washington",2014,0,0.0118917146461401,0.0344697375820213,0.122662098439031,"governmental"
501333,2013,"washington",2014,0,0.02038261636186,0.0305886991734822,0.11113515290664,"governmental"
501333,2014,"washington",2014,0,0.00710936864502677,0.0185384438515499,0.164069071644345,"governmental"
501333,2015,"washington",2014,0,0.00428847787113688,0.0161031003223755,0.179050704930749,"governmental"
501333,2016,"washington",2014,0,0.00395802844726526,0.0192064862996303,0.180836029505963,"governmental"
501333,2017,"washington",2014,0,0.00736048379004441,0.0180710100588789,0.160096886423109,"governmental"
501333,2018,"washington",2014,0,0.00640412879613199,0.0184590579541253,0.187192134618978,"governmental"
501333,2019,"washington",2014,0,0.0027861721971085,0.0175056721539261,0.165549080564283,"governmental"
501333,2020,"washington",2014,0,0.00649064439881129,0.0201350521835942,0.170711071946341,"governmental"
501333,2021,"washington",2014,0,0.00291128717384141,0.0218143969937914,0.195705520893488,"governmental"
501333,2022,"washington",2014,0,0.00242541058666089,0.0255557457198605,0.192603420357533,"governmental"
501333,2023,"washington",2014,0,0.00603045822151691,0.0214404150381021,0.187388839276756,"governmental"
501304,2013,"washington",2014,0,-0.0192662767994135,0.0872260330621822,0.257277946337221,"governmental"
501304,2014,"washington",2014,0,-0.0129121338665772,0.0475249687063163,0.332219640621369,"governmental"
501304,2015,"washington",2014,0,-0.0109427313644504,0.0387181507771816,0.340087362559684,"governmental"
501304,2016,"washington",2014,0,-0.00895202034455304,0.0323240290212339,0.372854589451344,"governmental"
501304,2017,"washington",2014,0,-0.0350488641881252,0.0115078790735703,0.347269050118637,"governmental"
501304,2018,"washington",2014,0,-0.0148319735642481,0.0561822710815124,0.342586574291338,"governmental"
501304,2019,"washington",2014,0,-0.0211654383483724,0.0368397922413259,0.339316549293577,"governmental"
501304,2020,"washington",2014,0,-0.0226249713276919,0.0297933585396331,0.33301803319457,"governmental"
501304,2021,"washington",2014,0,-0.0205128451540162,0.0244312307618287,0.363039201266863,"governmental"
501304,2022,"washington",2014,0,-0.0316528181411755,0.0243920088728968,0.304193410335032,"governmental"
501304,2023,"washington",2014,0,-0.0355692361827183,0.0394804488514732,0.300569021595622,"governmental"
501335,2011,"washington",2014,1,0.0149772180391427,0.0404777657892383,0.117454557161503,"non-profit"
501335,2012,"washington",2014,1,0.0108597792722666,0.0342359033278438,0.119608531042042,"non-profit"
501335,2013,"washington",2014,1,0.0270271653046196,0.0137499889093494,0.113766223023009,"non-profit"
501335,2014,"washington",2014,1,0.00578827305018996,0.0252639423432362,0.148319402381025,"non-profit"
501335,2015,"washington",2014,1,0.00345262708208004,0.00647498952078193,0.196127559905899,"non-profit"
501335,2016,"washington",2014,1,0.0044553885687243,0.00801599385693004,0.18866484833511,"non-profit"
501335,2017,"washington",2014,1,0.0166888583707358,0.00411336678469848,0.194193660110456,"non-profit"
501335,2018,"washington",2014,1,0.0171215032162476,0.00977373457320862,0.207360452099838,"non-profit"
501335,2019,"washington",2014,1,0.0199276051356315,0.0196268970052275,0.179196371887278,"non-profit"
